Date,Forecasted_Sales
2024-12-31,92.197205
2025-01-01,89.43274
2025-01-02,87.28741
2025-01-03,85.624054
2025-01-04,84.33477
2025-01-05,83.33536
2025-01-06,82.56046
2025-01-07,81.95946
2025-01-08,81.49319
2025-01-09,81.13134
2025-01-10,80.85046
2025-01-11,80.63236
2025-01-12,80.46301
2025-01-13,80.3315
2025-01-14,80.22934
2025-01-15,80.14997
2025-01-16,80.08832
2025-01-17,80.04041
2025-01-18,80.003204
2025-01-19,79.97429
2025-01-20,79.95181
2025-01-21,79.93435
2025-01-22,79.92079
2025-01-23,79.910255
2025-01-24,79.90207
2025-01-25,79.8957
2025-01-26,79.890755
2025-01-27,79.88692
2025-01-28,79.88393
2025-01-29,79.88161
